"team","vegas_proj_wins","date"
"Denver Nuggets",55.5,2025-11-11
"Denver Nuggets",55.8333333333333,2025-11-12
"Denver Nuggets",56.6666666666667,2025-11-13
"Denver Nuggets",56.5,2025-11-14
"Denver Nuggets",56.5,2025-11-15
"Denver Nuggets",56.5,2025-11-16
"Denver Nuggets",58,2025-11-17
"Denver Nuggets",56.5,2025-11-18
"Denver Nuggets",56.5,2025-11-19
"Denver Nuggets",56.5,2025-11-20
"Denver Nuggets",56.5,2025-11-21
"Denver Nuggets",56.5,2025-11-22
"Denver Nuggets",55.5,2025-11-23
"Denver Nuggets",55.5,2025-11-24
"Denver Nuggets",56.5,2025-11-25
"Denver Nuggets",56.25,2025-11-26
"Detroit Pistons",44.3333333333333,2025-10-29
"Detroit Pistons",44.6666666666667,2025-10-30
"Detroit Pistons",44.6666666666667,2025-10-31
"Detroit Pistons",44.6666666666667,2025-11-01
"Detroit Pistons",44.5,2025-11-02
"Detroit Pistons",45.5,2025-11-03
"Detroit Pistons",45.1666666666667,2025-11-04
"Detroit Pistons",45.25,2025-11-05
"Detroit Pistons",46.625,2025-11-06
"Detroit Pistons",46.5,2025-11-07
"Detroit Pistons",47.5,2025-11-08
"Detroit Pistons",48,2025-11-09
"Detroit Pistons",49.75,2025-11-10
"Detroit Pistons",49.8333333333333,2025-11-11
"Detroit Pistons",49.8333333333333,2025-11-12
"Detroit Pistons",49.5,2025-11-13
"Detroit Pistons",49.5,2025-11-14
"Detroit Pistons",50.3333333333333,2025-11-15
"Detroit Pistons",51,2025-11-16
"Detroit Pistons",50.8333333333333,2025-11-17
"Detroit Pistons",50.5,2025-11-18
"Detroit Pistons",51.5,2025-11-19
"Detroit Pistons",51.5,2025-11-20
"Detroit Pistons",51.8333333333333,2025-11-21
"Detroit Pistons",51.5,2025-11-22
"Detroit Pistons",51.5,2025-11-23
"Detroit Pistons",54,2025-11-24
"Detroit Pistons",53.6666666666667,2025-11-25
"Detroit Pistons",53.75,2025-11-26
"Golden State Warriors",52.1666666666667,2025-10-29
"Golden State Warriors",52.8333333333333,2025-10-30
"Golden State Warriors",52.25,2025-10-31
"Golden State Warriors",52.25,2025-11-01
"Golden State Warriors",52,2025-11-02
"Golden State Warriors",52,2025-11-03
"Golden State Warriors",52,2025-11-04
"Golden State Warriors",51,2025-11-05
"Golden State Warriors",50.8333333333333,2025-11-06
"Golden State Warriors",51,2025-11-07
"Golden State Warriors",50,2025-11-08
"Golden State Warriors",49.25,2025-11-09
"Golden State Warriors",49.5,2025-11-10
"Golden State Warriors",49.6666666666667,2025-11-11
"Golden State Warriors",49.3333333333333,2025-11-12
"Golden State Warriors",49.6666666666667,2025-11-13
"Golden State Warriors",49.5,2025-11-14
"Golden State Warriors",50,2025-11-15
"Golden State Warriors",49.5,2025-11-16
"Golden State Warriors",50.75,2025-11-17
"Golden State Warriors",50.8333333333333,2025-11-18
"Golden State Warriors",50,2025-11-19
"Golden State Warriors",48.5,2025-11-20
"Golden State Warriors",48.5,2025-11-21
"Golden State Warriors",48.5,2025-11-22
"Golden State Warriors",47.5,2025-11-23
"Golden State Warriors",47.5,2025-11-24
"Golden State Warriors",47.5,2025-11-25
"Golden State Warriors",47.5,2025-11-26
"Houston Rockets",52,2025-10-29
"Houston Rockets",52,2025-10-30
"Houston Rockets",52,2025-10-31
"Houston Rockets",52,2025-11-01
"Houston Rockets",51.5,2025-11-02
"Houston Rockets",51.6666666666667,2025-11-03
"Houston Rockets",51.6666666666667,2025-11-04
"Houston Rockets",51.6666666666667,2025-11-05
"Houston Rockets",52.875,2025-11-06
"Houston Rockets",52.875,2025-11-07
"Houston Rockets",52.6666666666667,2025-11-08
"Houston Rockets",52.75,2025-11-09
"Houston Rockets",53.3333333333333,2025-11-10
"Houston Rockets",53.6666666666667,2025-11-11
"Houston Rockets",53.375,2025-11-12
"Houston Rockets",54.5,2025-11-13
"Houston Rockets",54.5,2025-11-14
"Houston Rockets",54.5,2025-11-15
"Houston Rockets",54.5,2025-11-16
"Houston Rockets",55.75,2025-11-17
"Houston Rockets",55.875,2025-11-18
"Houston Rockets",56.125,2025-11-19
"Houston Rockets",56.5,2025-11-20
"Houston Rockets",56.5,2025-11-21
"Houston Rockets",56.5,2025-11-22
"Houston Rockets",57,2025-11-23
"Houston Rockets",57,2025-11-24
"Houston Rockets",56.5,2025-11-25
"Houston Rockets",56.5,2025-11-26
"Indiana Pacers",33.6666666666667,2025-10-29
"Indiana Pacers",32.5,2025-10-30
"Indiana Pacers",32.5,2025-10-31
"Indiana Pacers",32.5,2025-11-01
"Indiana Pacers",32.5,2025-11-02
"Indiana Pacers",32.5,2025-11-03
"Indiana Pacers",32.5,2025-11-04
"Indiana Pacers",32.5,2025-11-05
"Indiana Pacers",31.5,2025-11-06
"Indiana Pacers",31.5,2025-11-07
"Indiana Pacers",30.3333333333333,2025-11-08
"Indiana Pacers",30.5,2025-11-09
"Indiana Pacers",29.25,2025-11-10
"Indiana Pacers",29.3333333333333,2025-11-11
"Indiana Pacers",29.5,2025-11-12
"Indiana Pacers",29.5,2025-11-13
"Indiana Pacers",26.6666666666667,2025-11-14
"Indiana Pacers",25.1666666666667,2025-11-15
"Indiana Pacers",25.1666666666667,2025-11-16
"Indiana Pacers",25.5,2025-11-17
"Indiana Pacers",25,2025-11-18
"Indiana Pacers",25,2025-11-19
"Indiana Pacers",25.5,2025-11-20
"Indiana Pacers",25.5,2025-11-21
